Uniq Id,Destination,Itinerary,Places Covered,Hotel_details,cost_per_person,Places_to_visit,weather
504b2992a5ec5b3cf60536c7ab43ce42,Dharamshala,3N Dharamshala,Dharamshala,Little Mastiff Dharamshala - Unit Of Pong View Hotel:3.9,6713.5, Dalai Lama temple | Bhagsu falls | Church of St. John | War Memorial | Kangra Art Museum | Cricket Stadium | Norbulingka Institute | Kangra Art Museum ,cool
94335c24c87da05a2e9f503c90bcc57e,Jaipur|Jodhpur|Udaipur,2N Jaipur . 1N Jodhpur . 2N Udaipur,Jaipur|Jodhpur|Udaipur,RAMADA JAIPUR:4.1|Indana Palace Jodhpur:4.3|The Ananta:4.4,18081.5, City Palace | Hawa Mahal | Jantar Mantar | Amer Fort | Mehrangarh Fort | Jaswant Thada | Ranakpur Jain Temples ,hot
090601eb49460b3720e6d049f4e4e6db,Goa,2N Goa,Goa,Novotel Goa Resort & Spa:4.1,8384.5, Self Drive SUV for 3 days from Mumbai ,hot
5a64115001b9149430c50c5c1e05811b,Goa,3N Goa,Goa,"AMARA GRAND BAGA, GOA- MMT Holidays Special:",13319.5, Authentic Goan meal by Home Chef Aditi Malhotra (With Transfers) - MMT ,hot
e8f17e5b655fc6858e5d158632095578,Jaipur,3N Jaipur,Jaipur,Jai Mahal Palace:4.7,27979.0, Hawa Mahal | City Palace | Jantar Mantar | Amer Fort ,hot
2dbce5a63d477e66fb21be8cdfbbe39c,Darjeeling|Gangtok,1N Darjeeling . 2N Gangtok,Darjeeling|Gangtok,Ramada by Wyndham Darjeeling Gandhi Road:4.4|Lemon Tree Hotel  Gangtok:4.3,21459.5, Tiger Hill | Himalayan Mountaineering Instituite | Himalayan Zoological park | Tibetan Refugee Centre | Tezing Rock | Gombu Rock | Happy valley Tea Estate | Japanese Temple | Peace Pagoda | Changu Lake - Excursion | Baba Mandir ,moderate
1bd6253a282d030b1cb9473aecbba531,Darjeeling,5N Darjeeling,Darjeeling,Arcadia Heritage Resort:,19691.5, Tiger Hill | Ghoom Monastery | Himalayan Mountaineering Institute | Himalayan Zoological park | Tibetan Refugee Centre | Tezing Rock | Gombu Rock | Mirik | Pashupati Market | Zong Dog Palri Fo Brang Gompa | Mangal Dham ,moderate
81d72af03534c4bd3fd4410fde78470f,Jaipur|Udaipur,3N Jaipur . 2N Udaipur,Jaipur|Udaipur,Zone by The Park Jaipur Bani Park - MMT Holiday Special:|Hotel Yois Udaipur - MMT Holidays Special:,14089.0, City Palace | Hawa Mahal | Jantar Mantar | Rajasthan - Convenience Value Pack - SUV - MMT | Amer Fort | Albert Hall Museum | Bhangarh Fort ,hot
35db2a20b35e2c8b1d2105b41efe5302,Jaipur|Jodhpur|Udaipur,2N Jaipur . 2N Jodhpur . 2N Udaipur,Jaipur|Jodhpur|Udaipur,Leisure Inn Grand Chanakya:4|Shree Ram International:3.8|Hotel Horizon:3.7,14838.5, City Palace | Hawa Mahal | Jantar Mantar | Rajasthan - Convenience Value Pack - SUV - MMT | Albert Hall Museum | Amer Fort | Mehrangarh Fort | Jaswant Thada | Umaid Bhawan Palace | Ranakpur Jain Temples ,hot
64a6145dbc5891dc7e317c540a7ce214,Dharamshala,2N Dharamshala,Dharamshala,Little Mastiff Dharamshala - Unit Of Pong View Hotel:3.9,6699.0, Dalai Lama temple | Bhagsu falls | Church of St. John | War Memorial | Kangra Art Museum | Cricket Stadium | Norbulingka Institute | Sunrise at a Hilltop (With Transfers) ,cool
